,open,high,low,close,volume,date
169,27.857,28.807,26.118,27.068,3956059.11535,2020-09-17
170,27.068,28.746,26.634,27.642,3979425.56483,2020-09-18
171,27.642,27.961,26.692,27.182,2036980.30679,2020-09-19
172,27.182,27.304,25.148,26.326,1495586.77207,2020-09-20
173,26.326,26.66,22.273,23.109,4691468.13014,2020-09-21
174,23.109,24.558,22.713,24.033,4954340.84058,2020-09-22
175,24.033,24.319,22.476,22.822,3429215.58082,2020-09-23
176,22.822,24.681,22.593,24.583,1277117.58065,2020-09-24
177,24.583,25.064,23.777,24.686,1204302.88635,2020-09-25
178,24.686,26.456,24.516,26.188,1177642.02078,2020-09-26
179,26.188,26.888,25.542,26.234,1405791.33359,2020-09-27
180,26.234,27.698,25.854,26.952,1791298.34031,2020-09-28
181,26.952,28.964,26.867,28.847,1772208.44238,2020-09-29
182,28.847,29.565,27.903,29.287,1241686.05678,2020-09-30
183,29.287,29.344,26.25,27.475,1883865.77439,2020-10-01
184,27.475,28.192,25.739,27.335,3308036.79507,2020-10-02
185,27.335,28.372,27.112,28.225,1302035.30284,2020-10-03
186,28.225,29.146,28.022,28.981,702782.89901,2020-10-04
187,28.981,29.245,28.122,28.623,1152800.45571,2020-10-05
188,28.623,29.007,27.261,27.71,1702745.9418,2020-10-06
189,27.71,27.878,26.877,27.692,1102738.56081,2020-10-07
190,27.692,27.811,26.528,27.72,1072231.21043,2020-10-08
191,27.72,28.537,27.494,28.403,805573.29368,2020-10-09
192,28.403,29.248,28.104,28.421,921204.67693,2020-10-10
193,28.421,28.714,27.918,28.551,711155.52933,2020-10-11
194,28.551,31.105,28.469,30.686,3406631.18221,2020-10-12
195,30.686,31.757,30.272,30.752,2596928.73787,2020-10-13
196,30.752,31.356,30.421,30.873,1389409.48915,2020-10-14
197,30.873,31.688,30.437,31.362,1116823.04625,2020-10-15
198,31.362,32.015,29.643,30.071,1856722.21137,2020-10-16
199,30.071,30.551,29.737,30.259,771547.72075,2020-10-17
200,30.259,31.078,30.209,30.702,542643.04986,2020-10-18
201,30.702,30.716,29.794,29.933,1160606.30992,2020-10-19
202,29.933,30.112,28.535,28.851,1298346.67139,2020-10-20
203,28.851,30.456,28.7,29.811,2211641.9151,2020-10-21
204,29.811,31.293,29.76,30.681,1186537.66385,2020-10-22
205,30.681,31.19,30.104,30.678,658294.85871,2020-10-23
206,30.678,30.901,30.49,30.683,288490.15045,2020-10-24
207,30.683,31.006,29.951,30.194,680066.46801,2020-10-25
208,30.194,31.407,30.006,31.129,1441105.65877,2020-10-26
209,31.129,32.421,31.007,31.558,2780205.02856,2020-10-27
210,31.558,31.958,29.799,30.377,1383837.99358,2020-10-28
211,30.377,30.435,29.538,29.888,738651.47744,2020-10-29
212,29.888,30.269,27.559,28.53,2454671.57208,2020-10-30
213,28.53,28.895,28.154,28.511,831513.26997,2020-10-31
214,28.511,28.696,28.105,28.542,377311.86349,2020-11-01
215,28.542,29.293,27.837,27.853,1091066.45474,2020-11-02
216,27.853,27.855,25.863,26.9,5001039.22692,2020-11-03
217,26.9,27.011,26.006,27.006,2994543.31927,2020-11-04
218,27.006,27.919,26.712,27.723,1600045.95985,2020-11-05
219,27.723,29.477,27.723,29.071,1652278.25514,2020-11-06
220,29.071,29.873,26.88,27.747,2173393.12091,2020-11-07
221,27.747,28.703,27.511,28.396,508216.70466,2020-11-08
222,28.396,28.982,27.386,28.089,520717.74116,2020-11-09
223,28.089,28.505,27.706,28.212,236858.58394,2020-11-10
224,28.212,28.58,27.841,27.998,186788.55451,2020-11-11
225,27.998,28.163,27.36,27.695,199123.14407,2020-11-12
226,27.695,28.533,27.576,28.214,291452.79556,2020-11-13
227,28.214,28.214,27.415,27.957,182503.07733,2020-11-14
228,27.957,28.23,27.121,27.68,254091.06014,2020-11-15
229,27.68,28.225,27.493,27.972,326007.00917,2020-11-16
230,27.972,28.764,27.963,28.59,428553.43275,2020-11-17
231,28.59,28.797,27.532,28.103,488965.28338,2020-11-18
232,28.103,28.369,27.662,28.151,205641.85112,2020-11-19
233,28.151,29.34,28.096,28.969,419893.30587,2020-11-20
234,28.969,30.845,28.338,30.498,1236104.10293,2020-11-21
235,30.498,31.156,28.963,30.054,1412169.62043,2020-11-22
236,30.054,31.09,29.854,31.001,2245141.27538,2020-11-23
237,31.001,35.165,30.848,33.939,6031871.01933,2020-11-24
238,33.939,35.408,30.594,31.3,4596868.30837,2020-11-25
239,31.3,31.75,26.458,28.233,5732363.24782,2020-11-26
240,28.233,28.746,27.244,28.436,187035.00846,2020-11-27
241,28.436,29.653,27.957,29.172,449991.44905,2020-11-28
242,29.172,30.465,28.923,30.143,676961.54614,2020-11-29
243,30.143,31.596,29.776,31.484,1700109.5124,2020-11-30
244,31.484,31.906,29.22,30.187,2266901.67436,2020-12-01
245,30.187,30.908,29.584,30.291,391446.303,2020-12-02
246,30.291,30.827,29.927,30.709,434563.74627,2020-12-03
247,30.709,31.126,28.829,29.025,842331.54653,2020-12-04
248,29.025,30.065,28.667,29.729,360588.78645,2020-12-05
249,29.729,30.146,29.081,29.49,512815.2244,2020-12-06
250,29.49,29.647,29.093,29.368,388820.62689,2020-12-07
251,29.368,29.483,27.453,27.669,1766640.8766,2020-12-08
252,27.669,28.367,26.934,28.142,416820.732,2020-12-09
253,28.142,28.245,27.402,27.671,352052.08385,2020-12-10
254,27.671,27.751,26.739,27.357,179033.97687,2020-12-11
255,27.357,28.237,27.293,28.161,203682.70509,2020-12-12
256,28.161,29.235,28.06,29.132,321312.73811,2020-12-13
257,29.132,30.17,28.687,30.003,975746.90413,2020-12-14
258,30.003,30.348,29.347,29.535,792038.6329,2020-12-15
259,29.535,30.654,29.025,30.564,525116.91678,2020-12-16
260,30.564,31.52,29.763,30.253,1052902.48859,2020-12-17
261,30.253,31.185,29.652,30.999,269134.70199,2020-12-18
262,30.999,34.248,30.954,33.296,1649026.3923,2020-12-19
263,33.296,35.664,32.662,34.292,3472244.29522,2020-12-20
264,34.273,35.623,31.528,32.103,4912474.77334,2020-12-21
265,32.103,33.791,30.51,33.533,4513803.80434,2020-12-22
266,33.533,34.446,29.88,31.18,5793928.92546,2020-12-23
267,31.18,32.766,30.373,32.509,2755199.57342,2020-12-24
268,32.509,33.472,31.755,33.172,2138615.17546,2020-12-25
